Latitude,Longitude,Adresse,Ort,Stadtbezirk
50.733882,6.139343,Aachener Straße 11,52076 Aachen,Kornelimünster / Walheim
50.725665,6.145437,Aachener Straße 111,52076 Aachen,Kornelimünster / Walheim
50.761233,6.074514,Aachener-und-Münchener-Allee 1,52074 Aachen,Aachen-Mitte
50.760168,6.075297,Aachener-und-Münchener-Allee 5,52074 Aachen,Aachen-Mitte
50.797923,6.055492,Ackerstraße 10,52074 Aachen,Laurensberg
50.797576,6.055401,Ackerstraße 11,52074 Aachen,Laurensberg
50.79786,6.128251,Ahornweg 13,52080 Aachen,Haaren
50.798021,6.128253,Ahornweg 15,52080 Aachen,Haaren
50.743865,6.164111,Albert-Schweitzer-Straße 10,52078 Aachen,Brand
50.743117,6.164935,Albert-Schweitzer-Straße 16,52078 Aachen,Brand
50.779809,6.163668,Am Bach 10,52080 Aachen,Eilendorf
50.779871,6.163922,Am Bach 11,52080 Aachen,Eilendorf
50.812669,6.067913,Am Brombeerhang 10,52072 Aachen,Richterich
50.812807,6.067755,Am Brombeerhang 11,52072 Aachen,Richterich
